t,x,xd,xdd,
0,0,0,0,
0,0,0.1,-0,
0.01,0.000999983,0.099995,-0.000999983,
0.02,0.00199987,0.09998,-0.00199987,
0.03,0.00299955,0.099955,-0.00299955,
0.04,0.00399893,0.09992,-0.00399893,
0.05,0.00499792,0.099875,-0.00499792,
0.06,0.0059964,0.0998201,-0.0059964,
0.07,0.00699428,0.0997551,-0.00699428,
0.08,0.00799147,0.0996802,-0.00799147,
0.09,0.00898785,0.0995953,-0.00898785,
0.1,0.00998334,0.0995004,-0.00998334,
0.11,0.0109778,0.0993956,-0.0109778,
0.12,0.0119712,0.0992809,-0.0119712,
0.13,0.0129634,0.0991562,-0.0129634,
0.14,0.0139543,0.0990216,-0.0139543,
0.15,0.0149438,0.0988771,-0.0149438,
0.16,0.0159318,0.0987227,-0.0159318,
0.17,0.0169182,0.0985585,-0.0169182,
0.18,0.017903,0.0983844,-0.017903,
0.19,0.0188859,0.0982004,-0.0188859,
0.2,0.0198669,0.0980067,-0.0198669,
0.21,0.020846,0.0978031,-0.020846,
0.22,0.021823,0.0975897,-0.021823,
0.23,0.0227978,0.0973666,-0.0227978,
0.24,0.0237703,0.0971338,-0.0237703,
0.25,0.0247404,0.0968912,-0.0247404,
0.26,0.0257081,0.096639,-0.0257081,
0.27,0.0266731,0.0963771,-0.0266731,
0.28,0.0276356,0.0961055,-0.0276356,
0.29,0.0285952,0.0958244,-0.0285952,
0.3,0.029552,0.0955336,-0.029552,
0.31,0.0305059,0.0952334,-0.0305059,
0.32,0.0314567,0.0949235,-0.0314567,
0.33,0.0324043,0.0946042,-0.0324043,
0.34,0.0333487,0.0942755,-0.0333487,
0.35,0.0342898,0.0939373,-0.0342898,
0.36,0.0352274,0.0935897,-0.0352274,
0.37,0.0361615,0.0932327,-0.0361615,
0.38,0.037092,0.0928665,-0.037092,
0.39,0.0380188,0.0924909,-0.0380188,
0.4,0.0389418,0.0921061,-0.0389418,
0.41,0.0398609,0.0917121,-0.0398609,
0.42,0.040776,0.0913089,-0.040776,
0.43,0.0416871,0.0908966,-0.0416871,
0.44,0.0425939,0.0904752,-0.0425939,
0.45,0.0434966,0.0900447,-0.0434966,
0.46,0.0443948,0.0896052,-0.0443948,
0.47,0.0452886,0.0891568,-0.0452886,
0.48,0.0461779,0.0886995,-0.0461779,
0.49,0.0470626,0.0882333,-0.0470626,
0.5,0.0479426,0.0877583,-0.0479426,
0.51,0.0488177,0.0872745,-0.0488177,
0.52,0.049688,0.0867819,-0.049688,
0.53,0.0505533,0.0862807,-0.0505533,
0.54,0.0514136,0.0857709,-0.0514136,
