t,x,xd,xdd,
0,0,0,0,
0,0,0.1,-0,
0.01,0.001,0.1,-0.001,
0.02,0.002,0.09999,-0.002,
0.03,0.0029999,0.09997,-0.0029999,
0.04,0.0039996,0.09994,-0.0039996,
0.05,0.004999,0.0999,-0.004999,
0.06,0.005998,0.09985,-0.005998,
0.07,0.0069965,0.09979,-0.0069965,
0.08,0.0079944,0.0997201,-0.0079944,
0.09,0.0089916,0.0996401,-0.0089916,
0.1,0.009988,0.0995502,-0.009988,
0.11,0.0109835,0.0994503,-0.0109835,
0.12,0.011978,0.0993405,-0.011978,
0.13,0.0129714,0.0992207,-0.0129714,
0.14,0.0139636,0.099091,-0.0139636,
0.15,0.0149545,0.0989514,-0.0149545,
0.16,0.015944,0.0988018,-0.015944,
0.17,0.0169321,0.0986424,-0.0169321,
0.18,0.0179185,0.0984731,-0.0179185,
0.19,0.0189032,0.0982939,-0.0189032,
0.2,0.0198862,0.0981048,-0.0198862,
0.21,0.0208672,0.097906,-0.0208672,
0.22,0.0218463,0.0976973,-0.0218463,
0.23,0.0228232,0.0974788,-0.0228232,
0.24,0.023798,0.0972506,-0.023798,
0.25,0.0247705,0.0970126,-0.0247705,
0.26,0.0257407,0.0967649,-0.0257407,
0.27,0.0267083,0.0965075,-0.0267083,
0.28,0.0276734,0.0962404,-0.0276734,
0.29,0.0286358,0.0959637,-0.0286358,
0.3,0.0295954,0.0956773,-0.0295954,
0.31,0.0305522,0.0953814,-0.0305522,
0.32,0.031506,0.0950759,-0.031506,
0.33,0.0324568,0.0947608,-0.0324568,
0.34,0.0334044,0.0944362,-0.0334044,
0.35,0.0343487,0.0941022,-0.0343487,
0.36,0.0352898,0.0937587,-0.0352898,
0.37,0.0362273,0.0934058,-0.0362273,
0.38,0.0371614,0.0930435,-0.0371614,
0.39,0.0380918,0.0926719,-0.0380918,
0.4,0.0390186,0.092291,-0.0390186,
0.41,0.0399415,0.0919008,-0.0399415,
0.42,0.0408605,0.0915014,-0.0408605,
0.43,0.0417755,0.0910928,-0.0417755,
0.44,0.0426864,0.090675,-0.0426864,
0.45,0.0435932,0.0902482,-0.0435932,
0.46,0.0444957,0.0898123,-0.0444957,
0.47,0.0453938,0.0893673,-0.0453938,
0.48,0.0462874,0.0889134,-0.0462874,
0.49,0.0471766,0.0884505,-0.0471766,
0.5,0.0480611,0.0879787,-0.0480611,
0.51,0.0489409,0.0874981,-0.0489409,
0.52,0.0498159,0.0870087,-0.0498159,
0.53,0.0506859,0.0865105,-0.0506859,
0.54,0.051551,0.0860037,-0.051551,
0.55,0.0524111,0.0854882,-0.0524111,
